apprenant_id,age,sexe,profil_candidat,formation,mode_formation,score_tp,score_theorique,taux_presence,date_inscription,reussite,mois
1,26.0,Homme,Pris en charge,TIA Portal,Weekend,67.89213381849471,90.92773802225388,66.22760891897207,2024-12-23,0,12
2,39.0,Homme,Etudiant,SCADA,1 fois par semaine,65.03701926525726,82.10682976464531,92.06197225803702,2024-08-24,0,8
3,34.0,Homme,Pris en charge,EPLAN,Weekend,65.14111878783334,76.01489382187556,68.96151222650276,2024-03-26,0,3
4,30.0,Homme,Pris en charge,TIA Portal,Weekend,80.30441521644747,86.00243356131963,79.87713839164276,2024-07-18,1,7
5,27.0,Homme,Pris en charge,TIA Portal,Weekend,72.30730575647371,68.5475948024922,60.5478694109041,2024-11-24,0,11
6,40.0,Homme,Pris en charge,SolidWorks,1 fois par semaine,68.18610780576412,61.14970622736481,61.04675771290924,2024-10-04,0,10
7,26.0,Homme,Pris en charge,SCADA,Continue,61.38086471507667,68.84869211283473,77.90381505973332,2024-09-02,0,9
8,38.0,Homme,Employé,TIA Portal,Continue,81.71061658443769,49.373857033133206,100.0,2024-09-26,0,9
9,32.543160127253444,,,Industrie 4.0,Continue,74.81199054878482,70.11891311158554,79.76757781357493,2024-12-12,0,12
10,30.0,Homme,Etudiant,TIA Portal,Continue,64.75861256215805,65.81333706425414,86.90582993633191,2024-11-12,0,11
11,30.0,Homme,Employé,TIA Portal,Weekend,73.75342860261802,60.93751874850099,75.06600537588434,2024-12-13,0,12
12,43.0,Homme,Pris en charge,EPLAN,1 fois par semaine,65.67437663051639,62.32546051191772,90.16843811591156,2024-11-23,0,11
13,40.0,Homme,Employé,SolidWorks,Weekend,73.58214262986513,70.19891725825974,79.08308487176369,2024-03-18,0,3
14,23.0,Homme,Pris en charge,SCADA,1 fois par semaine,81.07907080239103,71.43547624954144,67.53544891078957,2024-11-06,0,11
15,27.0,Homme,Pris en charge,TIA Portal,Weekend,91.18337627007776,68.24675132181,77.50627785807487,2024-02-20,0,2
16,43.0,Homme,Etudiant,TIA Portal,Continue,70.52967974843577,68.19340466262933,62.18625077491596,2024-11-05,0,11
17,22.0,Homme,Etudiant,EPLAN,Continue,81.99912684976799,76.59711222001619,71.11289920845725,2024-02-03,0,2
18,41.0,Homme,Etudiant,TIA Portal,1 fois par semaine,82.2432891403073,56.81589096252988,83.81479876874685,2024-02-21,0,2
19,40.0,Homme,Etudiant,Industrie 4.0,Weekend,73.48869551477411,72.70229705463146,73.45349627878673,2024-02-03,0,2
20,21.0,Homme,Employé,TIA Portal,Continue,86.60099792573574,66.18564529290083,75.64696015662916,2024-11-06,0,11
21,43.0,Homme,Pris en charge,SCADA,1 fois par semaine,71.72285735249122,46.02414432738905,89.38657973933317,2024-09-23,0,9
22,31.0,Homme,Employé,TIA Portal,Weekend,79.3540154148426,57.00036116105453,74.98463847502511,2024-08-02,0,8
23,25.0,Homme,Etudiant,TIA Portal,1 fois par semaine,69.26377466684988,60.49622969921687,85.12269981073057,2024-03-18,0,3
24,32.543160127253444,,,EPLAN,Weekend,74.81199054878482,70.11891311158554,79.76757781357493,2024-11-09,0,11
25,40.0,Homme,Etudiant,SCADA,Weekend,79.31210639916645,75.43004866282273,89.16580278612301,2024-11-27,0,11
26,20.0,Homme,Employé,TIA Portal,Weekend,86.87361219338591,73.25187305042333,93.09552436916653,2024-05-08,1,5
27,31.0,Homme,Etudiant,SolidWorks,1 fois par semaine,93.35573972382828,64.15633881951892,60.3204347948646,2024-11-19,0,11
28,41.0,Homme,Etudiant,TIA Portal,1 fois par semaine,84.15825765529617,63.8518170349205,70.15022587915114,2024-08-02,0,8
29,31.0,Homme,Etudiant,Industrie 4.0,Weekend,81.70660131211147,55.80544259043128,77.64523242792819,2024-02-17,0,2
30,32.543160127253444,,,SCADA,Continue,74.81199054878482,70.11891311158554,79.76757781357493,2024-08-18,0,8
31,36.0,Homme,Pris en charge,TIA Portal,Weekend,52.343337860808745,86.5073124274264,88.57722145361926,2024-06-17,0,6
32,29.0,Homme,Etudiant,Industrie 4.0,1 fois par semaine,87.9830308795984,54.18259204518085,82.19362006076828,2024-09-04,0,9
33,35.0,Femme,Etudiant,SolidWorks,Weekend,93.56183639818974,62.96286434063581,70.54271931445476,2024-04-22,0,4
34,32.543160127253444,,,EPLAN,1 fois par semaine,74.81199054878482,70.11891311158554,79.76757781357493,2024-03-10,0,3
35,34.0,Homme,Etudiant,Industrie 4.0,Weekend,64.93892108501691,81.08169370265387,93.98893107997894,2024-08-25,0,8
36,38.0,Homme,Employé,TIA Portal,Weekend,74.81199054878482,61.35351370840028,66.69345258536728,2024-09-14,0,9
37,31.0,Homme,Employé,TIA Portal,Continue,86.05083044728786,83.9634410515767,73.94380157366119,2024-12-02,1,12
38,42.0,Homme,Etudiant,Industrie 4.0,Continue,54.62679772743935,64.78363651476575,88.34388767226424,2024-08-03,0,8
39,39.0,Homme,Employé,TIA Portal,1 fois par semaine,76.40409855055293,56.20888501690814,89.28822011950152,2024-11-20,0,11
40,44.0,Homme,Etudiant,Industrie 4.0,Weekend,77.42801929203654,87.97974389207579,94.03759321545644,2024-11-18,1,11
41,22.0,Homme,Employé,SCADA,1 fois par semaine,58.9558122038284,71.10352817631158,100.0,2024-09-15,0,9
42,24.0,Homme,Etudiant,TIA Portal,Weekend,64.21132176803687,67.98566245818026,84.18025135590989,2024-08-11,0,8
43,38.0,Homme,Etudiant,TIA Portal,Weekend,85.91560841986865,72.09795681727124,92.7665707275372,2024-12-13,0,12
44,26.0,Homme,Employé,Industrie 4.0,Weekend,75.69733702163879,58.36090964906982,100.0,2024-11-13,0,11
45,40.0,Femme,Pris en charge,TIA Portal,Continue,65.50057269290113,63.257156949015496,79.854146447654,2024-12-11,0,12
46,28.0,Homme,Employé,EPLAN,1 fois par semaine,68.30590183714565,87.2428219519976,72.15891094191,2024-10-01,0,10
47,26.0,Homme,Etudiant,Industrie 4.0,Weekend,62.98886852815085,92.3095919280568,82.54903367073568,2024-09-04,0,9
48,37.0,Femme,Etudiant,EPLAN,Weekend,75.75419530835411,56.64195865593848,95.93229563000492,2024-12-01,0,12
49,23.0,Homme,Pris en charge,EPLAN,1 fois par semaine,82.52303800807401,65.32769712818367,98.13180951912764,2024-09-13,0,9
50,44.0,Femme,Etudiant,SolidWorks,1 fois par semaine,86.76672705704183,70.05265914102966,81.46565660525644,2024-08-23,0,8
51,33.0,Homme,Etudiant,TIA Portal,Weekend,68.32016724266886,72.40832638311367,78.34883829626317,2024-07-22,0,7
52,37.0,Homme,Etudiant,EPLAN,Continue,71.46216260612343,58.59537217747619,67.25670132481001,2024-11-08,0,11
53,28.0,Homme,Etudiant,TIA Portal,Continue,80.01159178608346,77.80528603902656,80.79830194990376,2024-08-02,0,8
54,40.0,Homme,Etudiant,TIA Portal,Weekend,84.52607825104809,78.71186805229765,68.21474132179662,2024-09-24,1,9
55,21.0,Homme,Etudiant,Industrie 4.0,Continue,78.70779857506153,80.20374139996942,70.27973054834779,2024-12-21,0,12
56,39.0,Femme,Etudiant,TIA Portal,1 fois par semaine,87.67533066926832,79.02956990881607,82.36223216914814,2024-02-26,1,2
57,34.0,Homme,Pris en charge,TIA Portal,Continue,93.1690568485383,70.97479168659193,67.22540561823782,2024-11-11,1,11
58,26.0,Homme,Etudiant,TIA Portal,1 fois par semaine,58.699857979401074,81.88667035096171,83.55346715984923,2024-08-09,0,8
59,31.0,Homme,Etudiant,TIA Portal,1 fois par semaine,90.19016825685055,76.52879515453857,89.48955828581596,2024-04-20,1,4
60,27.0,Homme,Employé,SCADA,1 fois par semaine,87.98569048978429,52.193498592679845,69.46983758327755,2024-05-01,0,5
61,34.0,Homme,Employé,TIA Portal,1 fois par semaine,63.24448104405785,52.27788652498748,74.10982457952896,2024-12-05,0,12
62,22.0,Homme,Etudiant,Industrie 4.0,Continue,79.63779682463007,73.70289711302769,65.53479490466633,2024-01-17,0,1
63,33.0,Homme,Pris en charge,EPLAN,1 fois par semaine,81.35973939699005,85.42982172355354,85.93640757957075,2024-11-04,1,11
64,36.0,Homme,Etudiant,Industrie 4.0,Weekend,64.10183896512774,75.35254547267604,65.12319277195839,2024-11-01,0,11
65,23.0,Homme,Pris en charge,SCADA,1 fois par semaine,74.38914550055642,77.05978837085931,86.99578310080582,2024-11-19,0,11
66,32.543160127253444,,,EPLAN,Weekend,74.81199054878482,70.11891311158554,79.76757781357493,2024-06-02,0,6
67,27.0,Homme,Etudiant,TIA Portal,1 fois par semaine,64.20069025048988,70.80811623813268,100.0,2024-02-13,0,2
68,23.0,Homme,Pris en charge,Industrie 4.0,1 fois par semaine,71.61083361458297,83.7052791675851,96.72044771342108,2024-09-11,0,9
69,21.0,Homme,Employé,EPLAN,Continue,89.01177469488697,75.3497380640976,68.12858211132833,2024-01-14,1,1
70,25.0,Homme,Etudiant,EPLAN,1 fois par semaine,91.8332409313627,71.25570786218391,98.2508063095762,2024-09-09,1,9
71,41.0,Homme,Etudiant,SCADA,1 fois par semaine,63.96417070216447,77.1295050888981,74.65295855384943,2024-08-05,0,8
72,29.0,Homme,Etudiant,TIA Portal,Continue,48.35264336332341,72.71849508531736,71.93159197598797,2024-12-17,0,12
73,23.0,Homme,Employé,EPLAN,Continue,87.3735779642727,84.0944607791186,74.92137342800498,2024-08-06,1,8
74,41.0,Homme,Etudiant,TIA Portal,Weekend,93.2241285512428,72.7094505754937,77.11917299933344,2024-08-22,1,8
75,37.0,Homme,Etudiant,Industrie 4.0,Continue,83.76765606181593,69.63102938822912,100.0,2024-11-02,0,11
76,31.0,Homme,Etudiant,Industrie 4.0,Weekend,72.12998141628589,57.43165604366548,51.848171679874696,2024-11-25,0,11
77,21.0,Homme,Employé,Industrie 4.0,1 fois par semaine,64.16273149310749,84.57270212588142,98.52246600320689,2024-06-09,0,6
78,29.0,Homme,Pris en charge,SolidWorks,Weekend,81.16775679815758,58.7149716753576,88.29498578683354,2024-09-14,0,9
79,23.0,Homme,Employé,SolidWorks,Continue,85.54678978301796,72.84974034911663,81.67808021685163,2024-11-06,0,11
80,32.543160127253444,,,SolidWorks,1 fois par semaine,74.81199054878482,70.11891311158554,79.76757781357493,2024-12-27,0,12
81,35.0,Homme,Pris en charge,TIA Portal,Weekend,77.75058068316304,91.4720299435994,79.07405912939238,2024-04-05,1,4
82,34.0,Homme,Employé,SCADA,Weekend,70.65289470094555,72.71955304446888,88.51302525354684,2024-08-14,0,8
83,27.0,Homme,Pris en charge,SolidWorks,Weekend,82.53935604983457,86.69550655450772,89.61984626021196,2024-08-10,1,8
84,33.0,Homme,Etudiant,Industrie 4.0,1 fois par semaine,54.41157752747336,70.32863665686581,71.68592105957958,2024-02-27,0,2
85,32.543160127253444,,,EPLAN,Weekend,74.81199054878482,70.11891311158554,79.76757781357493,2024-12-24,0,12
86,44.0,Homme,Employé,SolidWorks,Weekend,71.3405175277496,100.0,74.11880286868194,2024-10-10,1,10
87,27.0,Homme,Etudiant,SCADA,Continue,93.3206886999304,55.38296108665691,78.23900780982426,2024-08-20,0,8
88,40.0,Homme,Employé,TIA Portal,Weekend,78.11989687196245,100.0,93.1252363237556,2024-11-19,1,11
89,35.0,Homme,Pris en charge,SCADA,1 fois par semaine,-5.0,89.54040304335591,87.93620165702293,2024-08-08,0,8
90,32.0,Homme,Pris en charge,EPLAN,Continue,65.5684677632712,63.10237070921484,63.81257289487188,2024-03-18,0,3
91,37.0,Femme,Pris en charge,Industrie 4.0,1 fois par semaine,72.78572496906528,77.79817663666455,81.34942835752278,2024-03-22,0,3
92,34.0,Homme,Employé,SolidWorks,Continue,78.94506744820897,53.226949496210665,84.19370414194398,2024-12-15,0,12
93,40.0,Homme,Etudiant,TIA Portal,Continue,71.40578428560536,77.11638762434299,81.48748398200225,2024-02-22,0,2
94,43.0,Femme,Etudiant,SCADA,Weekend,72.57735728664676,73.86519409396782,54.83009593079005,2024-08-08,0,8
95,44.0,Homme,Etudiant,SCADA,1 fois par semaine,77.62963163616823,80.39769006226021,66.45368527813703,2024-11-09,0,11
96,32.0,Femme,Employé,SCADA,Weekend,57.867454783865504,65.15226388339414,62.26549609448091,2024-10-09,0,10
97,28.0,Homme,Etudiant,EPLAN,Continue,69.75584543881442,71.90829449666798,73.65866225409806,2024-12-07,0,12
